"year","scenario","w_SHK","w_GJG","w_semi","N_SHK_sup","N_SHK_dem","N_GJG","Q","Q_demand","p_install","pi_sector","L_gap","CR","r_loan","def_G","wage_share"
2033,"Scenario A",33.198185546985,15.6199251460771,15.2650943654925,52724.672145102,90374.2864963648,14161.9669542848,378555.675715218,600486.925831401,22078.3939948354,0.0286724906209748,33401.0242649774,0,0.035,0.290336633668129,0.467608472353916
2034,"Scenario A",34.3503160738815,16.0104232747291,15.6484443861666,53779.165588004,94893.000821183,14159.1469422842,385556.577589691,630511.272122972,22734.3533574611,0.0297104654794709,36866.0911504938,0,0.035,0.297535790678511,0.469628057322467
2025,"Scenario B",27.2228571428571,19,12,45000,65000,36000,418600,431888.888888889,15923.4591495461,0.031,2000,0.08,0.045,0.89775,0.406687510126681
2026,"Scenario B",27.4318779408254,19.57,15.7907408,45900,66170,58710,439662.888888889,439662.888888889,16436.933440844,0.0322464036536012,0,0.0575999999999999,0.0422,1.50800304375,0.410214398486815
2027,"Scenario B",27.4597074712688,20.1571,17.9819302216893,46818,67953.9432,45954.500120729,451516.200373333,451516.200373333,16880.1443884687,0.0269643330503122,0,0.0372953687686428,0.0396619210960804,1.2157811588784,0.411168627943736
2028,"Scenario B",27.4891718523112,20.761813,19.381518954038,47754.36,70337.893411629,41565.3524835991,455390.529695513,467356.225112824,17373.1864969465,0.0292084058720825,1800.85716982949,0.0035015828401378,0.0354376978550172,1.13265084915094,0.413204618944067
2029,"Scenario B",27.5919951089637,21.38466739,20.3940714857448,48709.4472,73756.2704979779,39720.7271455681,455608.298245832,490069.441753231,17910.3769374661,0.0309206627473906,5186.45972519383,0,0.035,1.1148565817772,0.416052534977867
2030,"Scenario B",27.8119399617402,22.0262074117,21.2223031268102,49683.636144,77444.0840228768,38881.077149085,459291.738685427,514572.913840892,18399.3812979035,0.0273028514221008,8319.90930433425,0,0.035,1.12402850394982,0.41715775348223
2031,"Scenario B",28.131187028698,22.686993634051,21.9679427115168,50677.30886688,81316.2882240206,38484.5964147057,464576.944782125,540301.559532937,18880.1595407265,0.0261301309559632,11396.6811497878,0,0.035,1.14594347945365,0.417699545279046
2032,"Scenario B",28.5470796249359,23.3676034430725,22.682193539204,51690.8550442176,85382.1026352216,38293.6961825556,470677.183055847,567316.637509584,19372.6316199686,0.0260841058138204,14544.3994997262,0,0.035,1.17446687762704,0.418218723221041
