year,hp_heating_total,hp_air_source,hp_ground_source,hp_hot_water,source_url
2019,119000,NA,NA,16500,https://www.waermepumpe.de/presse/zahlen-daten/
2020,168000,NA,NA,22000,https://www.waermepumpe.de/presse/zahlen-daten/
2021,196000,NA,NA,35000,https://www.waermepumpe.de/presse/zahlen-daten/
2022,236000,NA,NA,82500,https://www.waermepumpe.de/presse/zahlen-daten/
2023,359000,NA,NA,41000,https://www.waermepumpe.de/presse/zahlen-daten/
2024,193000,NA,NA,41250,https://www.waermepumpe.de/presse/zahlen-daten/
2025,299000,283000,16000,49500,https://www.waermepumpe.de/presse/zahlen-daten/
